Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 1,1,"Department of Agriculture, Cooperation and Farmers' Welfare",Crop Insurance Scheme,12639.22, NA,12639.22,15695, NA,15695,15306.55, NA ,15306.55,16000, NA,16000
Demand No. 1,2,"Department of Agriculture, Cooperation and Farmers' Welfare",Interest Subsidy for Short Term Credit to Farmers,16218.74, NA,16218.74,21175, NA,21175,19831.75, NA ,19831.75,19468.31, NA,19468.31
Demand No. 1,3,"Department of Agriculture, Cooperation and Farmers' Welfare",Market Intervention Scheme and Price Support Scheme (MIS-PSS),2004.6, NA,2004.6,2000, NA,2000,996, NA ,996,1500.5, NA,1500.5
Demand No. 1,4,"Department of Agriculture, Cooperation and Farmers' Welfare",Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),313.18, NA,313.18,500, NA,500,300, NA ,300,400, NA,400
Demand No. 1,5,"Department of Agriculture, Cooperation and Farmers' Welfare",Distribution of Pulses to State / Union Territories for Welfare Schemes,733.9, NA,733.9,800, NA,800,620, NA ,620,300, NA,300
Demand No. 1,6,"Department of Agriculture, Cooperation and Farmers' Welfare",Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,594.23, NA,594.23,600, NA,600,600, NA ,600,700, NA,700
Demand No. 1,7,"Department of Agriculture, Cooperation and Farmers' Welfare",Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),48713.84, NA,48713.84,75000, NA,75000,65000, NA ,65000,65000, NA,65000
Demand No. 1,8,"Department of Agriculture, Cooperation and Farmers' Welfare",Pradhan Mantri Kisan Man Dhan Yojana,125, NA,125,220, NA,220,50, NA ,50,50, NA,50
Demand No. 1,9,"Department of Agriculture, Cooperation and Farmers' Welfare","Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)", NA, NA, NA,500, NA,500,250, NA ,250,700, NA,700
Demand No. 1,10,"Department of Agriculture, Cooperation and Farmers' Welfare",Agriculture Infrastructure Fund (AIF), NA, NA, NA, NA, NA, NA,208, NA ,208,900, NA,900
Demand No. 2,11,Department of Agricultural Research and Education,Agricultural Extension,221.15, NA,221.15,242.5, NA,242.5,237.49, NA ,237.49,328, NA,328
Demand No. 2,12,Department of Agricultural Research and Education,Agricultural Engineering,64.02, NA,64.02,70, NA,70,58.55, NA ,58.55,65, NA,65
Demand No. 2,13,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,158.83, NA,158.83,174, NA,174,173.38, NA ,173.38,195, NA,195
Demand No. 2,14,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,46, NA,46,52, NA,52,49.83, NA ,49.83,55, NA,55
Demand No. 2,15,Department of Agricultural Research and Education,Crop Science,635, NA,635,715.5, NA,715.5,612.25, NA ,612.25,708, NA,708
Demand No. 2,16,Department of Agricultural Research and Education,Horticultural Science,173.61, NA,173.61,194, NA,194,181.72, NA ,181.72,212, NA,212
Demand No. 2,17,Department of Agricultural Research and Education,National Agricultural Science Fund,50, NA,50,55, NA,55,42, NA ,42,48, NA,48
Demand No. 2,18,Department of Agricultural Research and Education,Animal Science,310, NA,310,330, NA,330,274.12, NA ,274.12,302, NA,302
Demand No. 2,19,Department of Agricultural Research and Education,Fisheries Science,142.39, NA,142.39,156, NA,156,145.76, NA ,145.76,160, NA,160
Demand No. 2,20,Department of Agricultural Research and Education,Agricultural Universities and Institutions,450, NA,450,480, NA,480,319.9, NA ,319.9,355, NA,355
Demand No. 2,21,Department of Agricultural Research and Education,Economic Statistics and Management,29.76, NA,29.76,30, NA,30,30, NA ,30,33, NA,33
Demand No. 2,22,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),207.85, NA,207.85,230, NA,230,180, NA ,180,225, NA,225
Demand No. 3,23,Atomic Energy,R and D Basic Science and Engineering, NA,1128.42,1128.42, NA,1250,1250, NA,850,850, NA, NA, NA
Demand No. 3,24,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,1256.73,1256.73
Demand No. 3,25,Atomic Energy,R and D for Fast Reactor Science and Technology, NA,225.96,225.96, NA,300,300, NA,100,100, NA, NA, NA
Demand No. 3,26,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,300,300
Demand No. 3,27,Atomic Energy,"Advanced Technologies for Laser, Synchrotron and Accelerator", NA,153.24,153.24, NA,180,180, NA,90,90, NA, NA, NA
Demand No. 3,28,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,180,180
Demand No. 3,29,Atomic Energy,R and D in Exploration and Mining, NA,142.94,142.94, NA,150,150, NA,90,90, NA, NA, NA
Demand No. 3,30,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,150,150
Demand No. 3,31,Atomic Energy,Grants to other Institutions,96.28, NA,96.28,154, NA,154,45, NA ,45,75, NA,75
Demand No. 3,32,Atomic Energy,Backend Fuel Cycle Projects, NA,538.92,538.92, NA,500,500, NA,500,500, NA, NA, NA
Demand No. 3,33,Atomic Energy,Fuel Recycle Projects (NRB), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,650,650
Demand No. 3,34,Atomic Energy,Housing Projects, NA,214.44,214.44, NA,214.2,214.2, NA,101,101, NA,196,196
Demand No. 3,35,Atomic Energy,Heavy Water Board, NA,38.77,38.77, NA,53,53, NA,35,35, NA, NA, NA
Demand No. 3,36,Atomic Energy,Improvement/Modifications of Heavy water projects, NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,103,103
Demand No. 3,37,Atomic Energy,Feedstock, NA,1369.35,1369.35, NA,1194.66,1194.66, NA,850.9,850.9, NA,1433.57,1433.57
Demand No. 3,38,Atomic Energy,Radiation and Isotopes Project (BRIT), NA,111.99,111.99, NA,119.12,119.12, NA,50,50, NA,38.06,38.06
Demand No. 3,39,Atomic Energy,Nuclear Power Projects,94.55, NA,94.55,96.02,4.1,100.12,90.73,9.39,100.12,125.02,153.93,278.95
Demand No. 3,40,Atomic Energy,Nuclear Fuel Projects, NA,283.67,283.67, NA,450.86,450.86, NA,450.86,450.86, NA, NA, NA
Demand No. 3,41,Atomic Energy,Nuclear Fuel Fabrication Projects, NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,540,540
Demand No. 3,42,Atomic Energy,Atomic Energy Regulatory Board Expansion Project, NA,25.27,25.27, NA,49.38,49.38, NA,15,15, NA,43.08,43.08
Demand No. 3,43,Atomic Energy,Advanced Technology for Acclerator, NA,57.33,57.33, NA,80,80, NA,30,30, NA, NA, NA
Demand No. 3,44,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,80,80
Demand No. 3,45,Atomic Energy,Research and Development Projects,9.33,305.44,314.77,10,300,310,10,231.89,241.89,10,400,410
Demand No. 3,46,Atomic Energy,Industries and Minerals Projects,25,11,36,45,20,65,25,15,40,45,100,145
Demand No. 3,47,Atomic Energy,Fuel Cycle Projects (Fast Reactor Fuel Cycle Fascility), NA,495.79,495.79, NA,600,600, NA,200,200, NA, NA, NA
Demand No. 3,48,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam, NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,600,600
Demand No. 3,49,Atomic Energy,Nuclear Fuel Inventory,2702.41, NA,2702.41,516.03, NA,516.03,516.03, NA ,516.03,197.45, NA,197.45
Demand No. 4,50,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,4.98, NA,4.98,8, NA,8,20.39, NA ,20.39,13, NA,13
Demand No. 4,51,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",AYUSH and Public Health,4.93, NA,4.93,5, NA,5,5, NA ,5,5, NA,5
Demand No. 4,52,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Central Drug Controller for AYUSH,0.09, NA,0.09,1.5, NA,1.5,0.05, NA ,0.05,1.5, NA,1.5
Demand No. 4,53,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Development of Common Facilities for AYUSH Industry Clusters,0.33, NA,0.33,1, NA,1, NA, NA , NA, NA, NA, NA
Demand No. 4,54,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)","Information, Education and Communication",43.34, NA,43.34,44.5, NA,44.5,22.7, NA ,22.7,46.2, NA,46.2
Demand No. 4,55,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Promotion of International Cooperation,29.99, NA,29.99,25, NA,25,43, NA ,43,38.6, NA,38.6
Demand No. 4,56,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Pharmacovigilance Initiative for ASU Drugs,2.65, NA,2.65,2.8, NA,2.8,1.8, NA ,1.8,4.1, NA,4.1
Demand No. 4,57,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),3.5, NA,3.5,6, NA,6,5.96, NA ,5.96,6, NA,6
Demand No. 4,58,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Extra Mural Research Projects through Research Institutes etc.,5.22, NA,5.22,8, NA,8,8, NA ,8,8.77, NA,8.77
Demand No. 4,59,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Champion Services Sector Scheme, NA, NA, NA,21.2, NA,21.2,15, NA ,15,150, NA,150
Demand No. 4,60,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Programme on 'Ayurveda-Biology Integrated Health Research', NA, NA, NA,13, NA,13, NA, NA , NA,0.5, NA,0.5
Demand No. 4,61,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Pradhan Mantri VRIKSH AYUSH Yojana, NA, NA, NA, NA, NA, NA, NA, NA , NA,25, NA,25
Demand No. 5,62,Department of Chemicals and Petrochemicals ,Assam Gas Cracker Project,200, NA,200,0.01, NA,0.01, NA, NA , NA, NA, NA, NA
Demand No. 5,63,Department of Chemicals and Petrochemicals ,Chemical Promotion and Development Scheme,2.5, NA,2.5,3.5, NA,3.5,2.8, NA ,2.8,3, NA,3
Demand No. 5,64,Department of Chemicals and Petrochemicals ,Promotion of Petrochemicals,32.08, NA,32.08,53.79, NA,53.79,22.85, NA ,22.85,53.73, NA,53.73
Demand No. 6,65,Department of Fertilisers,Urea Subsidy,54755.48, NA,54755.48,47805, NA,47805,94957.42, NA ,94957.42,58767.68, NA,58767.68
Demand No. 6,66,Department of Fertilisers,Nutrient Based Subsidy,26368.85, NA,26368.85,23504, NA,23504,38989.88, NA ,38989.88,20762, NA,20762
Demand No. 7,67,Department of Pharmaceuticals ,National Institutes of Pharmaceutical Education and Research (NIPERs),160.01, NA,160.01,184.45, NA,184.45,306.28, NA ,306.28,215.34, NA,215.34
Demand No. 7,68,Department of Pharmaceuticals ,Jan Aushadhi Scheme,35.51, NA,35.51,50, NA,50,65, NA ,65,65, NA,65
