S.No.,Description,Sub Class,Class,Group,Division,Section
1,Growing of wheat,1111,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
2,"Growing of jowar, bajra and millets",1112,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
3,Growing of other cereals,1113,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
4,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds",1114,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
5,Growing of mustard oil seed,1115,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
6,Growing of groundnut oil seed,1116,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
7,Growing of sunflower oil seed,1117,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
8,Growing of soya bean oil seed,1118,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
9,Growing of other oil seeds,1119,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
10,Organic farming of basmati rice,1121,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
11,Organic farming of non-basmati rice,1122,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
12,Inorganic farming of basmati rice,1123,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
13,Inorganic farming of non-basmati rice,1124,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
14,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables",1131,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
15,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables",1132,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
16,Growing of onion,1133,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
17,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)",1134,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
